region,indicator,Unit,Date,Value
Contra Costa,population,thousands,1/1/2000 0:00,21.14
Contra Costa,population,thousands,1/1/2005 0:00,30.846
Contra Costa,population,thousands,1/1/2010 0:00,36.045
Contra Costa,groundwater,Mgal/d,1/1/2000 0:00,1.43
Contra Costa,groundwater,Mgal/d,1/1/2005 0:00,28.87
Contra Costa,groundwater,Mgal/d,1/1/2010 0:00,2.05
Contra Costa,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.16
Contra Costa,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0
Contra Costa,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.66
Contra Costa,selfsupplied,Mgal/d,1/1/2000 0:00,1.59
Contra Costa,selfsupplied,Mgal/d,1/1/2005 0:00,28.87
Contra Costa,selfsupplied,Mgal/d,1/1/2010 0:00,2.71
Contra Costa,selfpercapitause,gallons/day,1/1/2010 0:00,75
Contra Costa,public,Mgal/d,1/1/2005 0:00,112.37
Contra Costa,public,Mgal/d,1/1/2010 0:00,90.72
Contra Costa,publicpercapita,gallons/day,1/1/2010 0:00,90
Contra Costa,total,Mgal/d,1/1/2005 0:00,141.24
Contra Costa,total,Mgal/d,1/1/2010 0:00,93.43
Alameda,population,thousands,1/1/2000 0:00,176.86
Alameda,population,thousands,1/1/2005 0:00,15.411
Alameda,population,thousands,1/1/2010 0:00,61.571
Alameda,groundwater,Mgal/d,1/1/2000 0:00,11.94
Alameda,groundwater,Mgal/d,1/1/2005 0:00,2.67
Alameda,groundwater,Mgal/d,1/1/2010 0:00,3.3
Alameda,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,1.33
Alameda,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.83
Alameda,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,1.32
Alameda,selfsupplied,Mgal/d,1/1/2000 0:00,13.27
Alameda,selfsupplied,Mgal/d,1/1/2005 0:00,3.5
Alameda,selfsupplied,Mgal/d,1/1/2010 0:00,4.62
Alameda,selfpercapitause,gallons/day,1/1/2010 0:00,75
Alameda,public,Mgal/d,1/1/2005 0:00,73.34
Alameda,public,Mgal/d,1/1/2010 0:00,124.4
Alameda,publicpercapita,gallons/day,1/1/2010 0:00,86
Alameda,total,Mgal/d,1/1/2005 0:00,76.84
Alameda,total,Mgal/d,1/1/2010 0:00,129.02
Alpine,population,thousands,1/1/2000 0:00,0.61
Alpine,population,thousands,1/1/2005 0:00,0.839
Alpine,population,thousands,1/1/2010 0:00,0.425
Alpine,groundwater,Mgal/d,1/1/2000 0:00,0.04
Alpine,groundwater,Mgal/d,1/1/2005 0:00,0.01
Alpine,groundwater,Mgal/d,1/1/2010 0:00,0.03
Alpine,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0
Alpine,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0
Alpine,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.01
Alpine,selfsupplied,Mgal/d,1/1/2000 0:00,0.04
Alpine,selfsupplied,Mgal/d,1/1/2005 0:00,0.01
Alpine,selfsupplied,Mgal/d,1/1/2010 0:00,0.04
Alpine,selfpercapitause,gallons/day,1/1/2010 0:00,94
Alpine,public,Mgal/d,1/1/2005 0:00,0.08
Alpine,public,Mgal/d,1/1/2010 0:00,0.08
Alpine,publicpercapita,gallons/day,1/1/2010 0:00,107
Alpine,total,Mgal/d,1/1/2005 0:00,0.09
Alpine,total,Mgal/d,1/1/2010 0:00,0.12
Amador,population,thousands,1/1/2000 0:00,8.28
Amador,population,thousands,1/1/2005 0:00,18.246
Amador,population,thousands,1/1/2010 0:00,7.881
Amador,groundwater,Mgal/d,1/1/2000 0:00,0.56
Amador,groundwater,Mgal/d,1/1/2005 0:00,0.13
Amador,groundwater,Mgal/d,1/1/2010 0:00,0.44
Amador,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.06
Amador,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0
Amador,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.13
Amador,selfsupplied,Mgal/d,1/1/2000 0:00,0.62
Amador,selfsupplied,Mgal/d,1/1/2005 0:00,0.13
Amador,selfsupplied,Mgal/d,1/1/2010 0:00,0.57
Amador,selfpercapitause,gallons/day,1/1/2010 0:00,72
Amador,public,Mgal/d,1/1/2005 0:00,4.81
Amador,public,Mgal/d,1/1/2010 0:00,3.12
Amador,publicpercapita,gallons/day,1/1/2010 0:00,103
Amador,total,Mgal/d,1/1/2005 0:00,4.94
Amador,total,Mgal/d,1/1/2010 0:00,3.69
Butte,population,thousands,1/1/2000 0:00,38.4
Butte,population,thousands,1/1/2005 0:00,2.264
Butte,population,thousands,1/1/2010 0:00,33.8
Butte,groundwater,Mgal/d,1/1/2000 0:00,2.59
Butte,groundwater,Mgal/d,1/1/2005 0:00,9.48
Butte,groundwater,Mgal/d,1/1/2010 0:00,2.21
Butte,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.29
Butte,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0
Butte,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.33
Butte,selfsupplied,Mgal/d,1/1/2000 0:00,2.88
Butte,selfsupplied,Mgal/d,1/1/2005 0:00,9.48
Butte,selfsupplied,Mgal/d,1/1/2010 0:00,2.54
Butte,selfpercapitause,gallons/day,1/1/2010 0:00,75
Butte,public,Mgal/d,1/1/2005 0:00,35.78
Butte,public,Mgal/d,1/1/2010 0:00,28.92
Butte,publicpercapita,gallons/day,1/1/2010 0:00,155
Butte,total,Mgal/d,1/1/2005 0:00,45.26
Butte,total,Mgal/d,1/1/2010 0:00,31.46
Calaveras,population,thousands,1/1/2000 0:00,4.94
Calaveras,population,thousands,1/1/2005 0:00,7.973
Calaveras,population,thousands,1/1/2010 0:00,12.568
Calaveras,groundwater,Mgal/d,1/1/2000 0:00,0.33
Calaveras,groundwater,Mgal/d,1/1/2005 0:00,3.97
Calaveras,groundwater,Mgal/d,1/1/2010 0:00,0.58
Calaveras,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.04
Calaveras,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.01
Calaveras,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.2
Calaveras,selfsupplied,Mgal/d,1/1/2000 0:00,0.37
Calaveras,selfsupplied,Mgal/d,1/1/2005 0:00,3.98
Calaveras,selfsupplied,Mgal/d,1/1/2010 0:00,0.78
Calaveras,selfpercapitause,gallons/day,1/1/2010 0:00,62
Calaveras,public,Mgal/d,1/1/2005 0:00,9.04
Calaveras,public,Mgal/d,1/1/2010 0:00,6.33
Calaveras,publicpercapita,gallons/day,1/1/2010 0:00,192
Calaveras,total,Mgal/d,1/1/2005 0:00,13.02
Calaveras,total,Mgal/d,1/1/2010 0:00,7.11
Colusa,population,thousands,1/1/2000 0:00,7.06
Colusa,population,thousands,1/1/2005 0:00,9.963
Colusa,population,thousands,1/1/2010 0:00,3.479
Colusa,groundwater,Mgal/d,1/1/2000 0:00,0.48
Colusa,groundwater,Mgal/d,1/1/2005 0:00,0.99
Colusa,groundwater,Mgal/d,1/1/2010 0:00,0.24
Colusa,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.05
Colusa,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.25
Colusa,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.02
Colusa,selfsupplied,Mgal/d,1/1/2000 0:00,0.53
Colusa,selfsupplied,Mgal/d,1/1/2005 0:00,1.24
Colusa,selfsupplied,Mgal/d,1/1/2010 0:00,0.26
Colusa,selfpercapitause,gallons/day,1/1/2010 0:00,75
Colusa,public,Mgal/d,1/1/2005 0:00,2.71
Colusa,public,Mgal/d,1/1/2010 0:00,2.26
Colusa,publicpercapita,gallons/day,1/1/2010 0:00,126
Colusa,total,Mgal/d,1/1/2005 0:00,3.95
Colusa,total,Mgal/d,1/1/2010 0:00,2.52
Del Norte,population,thousands,1/1/2000 0:00,9.07
Del Norte,population,thousands,1/1/2005 0:00,9.325
Del Norte,population,thousands,1/1/2010 0:00,7.87
Del Norte,groundwater,Mgal/d,1/1/2000 0:00,0.61
Del Norte,groundwater,Mgal/d,1/1/2005 0:00,0.3
Del Norte,groundwater,Mgal/d,1/1/2010 0:00,0.49
Del Norte,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.07
Del Norte,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.3
Del Norte,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.1
Del Norte,selfsupplied,Mgal/d,1/1/2000 0:00,0.68
Del Norte,selfsupplied,Mgal/d,1/1/2005 0:00,0.6
Del Norte,selfsupplied,Mgal/d,1/1/2010 0:00,0.59
Del Norte,selfpercapitause,gallons/day,1/1/2010 0:00,75
Del Norte,public,Mgal/d,1/1/2005 0:00,2.26
Del Norte,public,Mgal/d,1/1/2010 0:00,1.33
Del Norte,publicpercapita,gallons/day,1/1/2010 0:00,64
Del Norte,total,Mgal/d,1/1/2005 0:00,2.86
Del Norte,total,Mgal/d,1/1/2010 0:00,1.92
El Dorado,population,thousands,1/1/2000 0:00,12.76
El Dorado,population,thousands,1/1/2005 0:00,6.99
El Dorado,population,thousands,1/1/2010 0:00,13.498
El Dorado,groundwater,Mgal/d,1/1/2000 0:00,0.86
El Dorado,groundwater,Mgal/d,1/1/2005 0:00,16.4
El Dorado,groundwater,Mgal/d,1/1/2010 0:00,0.64
El Dorado,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.1
El Dorado,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.08
El Dorado,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.17
El Dorado,selfsupplied,Mgal/d,1/1/2000 0:00,0.96
El Dorado,selfsupplied,Mgal/d,1/1/2005 0:00,16.48
El Dorado,selfsupplied,Mgal/d,1/1/2010 0:00,0.81
El Dorado,selfpercapitause,gallons/day,1/1/2010 0:00,60
El Dorado,public,Mgal/d,1/1/2005 0:00,21.8
El Dorado,public,Mgal/d,1/1/2010 0:00,21.27
El Dorado,publicpercapita,gallons/day,1/1/2010 0:00,127
El Dorado,total,Mgal/d,1/1/2005 0:00,38.28
El Dorado,total,Mgal/d,1/1/2010 0:00,22.08
Fresno,population,thousands,1/1/2000 0:00,41.73
Fresno,population,thousands,1/1/2005 0:00,136.777
Fresno,population,thousands,1/1/2010 0:00,105.24
Fresno,groundwater,Mgal/d,1/1/2000 0:00,2.82
Fresno,groundwater,Mgal/d,1/1/2005 0:00,36.06
Fresno,groundwater,Mgal/d,1/1/2010 0:00,7.11
Fresno,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.31
Fresno,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,4.01
Fresno,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.53
Fresno,selfsupplied,Mgal/d,1/1/2000 0:00,3.13
Fresno,selfsupplied,Mgal/d,1/1/2005 0:00,40.07
Fresno,selfsupplied,Mgal/d,1/1/2010 0:00,7.64
Fresno,selfpercapitause,gallons/day,1/1/2010 0:00,73
Fresno,public,Mgal/d,1/1/2005 0:00,159.95
Fresno,public,Mgal/d,1/1/2010 0:00,131.29
Fresno,publicpercapita,gallons/day,1/1/2010 0:00,159
Fresno,total,Mgal/d,1/1/2005 0:00,200.02
Fresno,total,Mgal/d,1/1/2010 0:00,138.93
Glenn,population,thousands,1/1/2000 0:00,12.26
Glenn,population,thousands,1/1/2005 0:00,11.372
Glenn,population,thousands,1/1/2010 0:00,9.852
Glenn,groundwater,Mgal/d,1/1/2000 0:00,0.83
Glenn,groundwater,Mgal/d,1/1/2005 0:00,1.65
Glenn,groundwater,Mgal/d,1/1/2010 0:00,0.66
Glenn,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.09
Glenn,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.66
Glenn,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.07
Glenn,selfsupplied,Mgal/d,1/1/2000 0:00,0.92
Glenn,selfsupplied,Mgal/d,1/1/2005 0:00,2.31
Glenn,selfsupplied,Mgal/d,1/1/2010 0:00,0.73
Glenn,selfpercapitause,gallons/day,1/1/2010 0:00,74
Glenn,public,Mgal/d,1/1/2005 0:00,5.99
Glenn,public,Mgal/d,1/1/2010 0:00,2.65
Glenn,publicpercapita,gallons/day,1/1/2010 0:00,145
Glenn,total,Mgal/d,1/1/2005 0:00,8.3
Glenn,total,Mgal/d,1/1/2010 0:00,3.38
Humboldt,population,thousands,1/1/2000 0:00,16.35
Humboldt,population,thousands,1/1/2005 0:00,57.894
Humboldt,population,thousands,1/1/2010 0:00,10.322
Humboldt,groundwater,Mgal/d,1/1/2000 0:00,1.1
Humboldt,groundwater,Mgal/d,1/1/2005 0:00,1.46
Humboldt,groundwater,Mgal/d,1/1/2010 0:00,0.44
Humboldt,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.12
Humboldt,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,1.46
Humboldt,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.24
Humboldt,selfsupplied,Mgal/d,1/1/2000 0:00,1.22
Humboldt,selfsupplied,Mgal/d,1/1/2005 0:00,2.92
Humboldt,selfsupplied,Mgal/d,1/1/2010 0:00,0.68
Humboldt,selfpercapitause,gallons/day,1/1/2010 0:00,66
Humboldt,public,Mgal/d,1/1/2005 0:00,11.72
Humboldt,public,Mgal/d,1/1/2010 0:00,9.18
Humboldt,publicpercapita,gallons/day,1/1/2010 0:00,74
Humboldt,total,Mgal/d,1/1/2005 0:00,14.64
Humboldt,total,Mgal/d,1/1/2010 0:00,9.86
Imperial,population,thousands,1/1/2000 0:00,5.4
Imperial,population,thousands,1/1/2005 0:00,30.584
Imperial,population,thousands,1/1/2010 0:00,18.178
Imperial,groundwater,Mgal/d,1/1/2000 0:00,0.36
Imperial,groundwater,Mgal/d,1/1/2005 0:00,0.05
Imperial,groundwater,Mgal/d,1/1/2010 0:00,0.28
Imperial,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.04
Imperial,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.08
Imperial,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.3
Imperial,selfsupplied,Mgal/d,1/1/2000 0:00,0.4
Imperial,selfsupplied,Mgal/d,1/1/2005 0:00,0.13
Imperial,selfsupplied,Mgal/d,1/1/2010 0:00,0.58
Imperial,selfpercapitause,gallons/day,1/1/2010 0:00,32
Imperial,public,Mgal/d,1/1/2005 0:00,24.14
Imperial,public,Mgal/d,1/1/2010 0:00,18.03
Imperial,publicpercapita,gallons/day,1/1/2010 0:00,115
Imperial,total,Mgal/d,1/1/2005 0:00,24.27
Imperial,total,Mgal/d,1/1/2010 0:00,18.61
Inyo,population,thousands,1/1/2000 0:00,11.04
Inyo,population,thousands,1/1/2005 0:00,3.298
Inyo,population,thousands,1/1/2010 0:00,1.616
Inyo,groundwater,Mgal/d,1/1/2000 0:00,0.75
Inyo,groundwater,Mgal/d,1/1/2005 0:00,1.34
Inyo,groundwater,Mgal/d,1/1/2010 0:00,0.09
Inyo,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.08
Inyo,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,1.49
Inyo,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.03
Inyo,selfsupplied,Mgal/d,1/1/2000 0:00,0.83
Inyo,selfsupplied,Mgal/d,1/1/2005 0:00,2.83
Inyo,selfsupplied,Mgal/d,1/1/2010 0:00,0.12
Inyo,selfpercapitause,gallons/day,1/1/2010 0:00,74
Inyo,public,Mgal/d,1/1/2005 0:00,5.77
Inyo,public,Mgal/d,1/1/2010 0:00,2.19
Inyo,publicpercapita,gallons/day,1/1/2010 0:00,129
Inyo,total,Mgal/d,1/1/2005 0:00,8.6
Inyo,total,Mgal/d,1/1/2010 0:00,2.31
Kern,population,thousands,1/1/2000 0:00,76.05
Kern,population,thousands,1/1/2005 0:00,54.695
Kern,population,thousands,1/1/2010 0:00,54.071
Kern,groundwater,Mgal/d,1/1/2000 0:00,5.13
Kern,groundwater,Mgal/d,1/1/2005 0:00,17.78
Kern,groundwater,Mgal/d,1/1/2010 0:00,2.09
Kern,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.57
Kern,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,1.98
Kern,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.19
Kern,selfsupplied,Mgal/d,1/1/2000 0:00,5.7
Kern,selfsupplied,Mgal/d,1/1/2005 0:00,19.76
Kern,selfsupplied,Mgal/d,1/1/2010 0:00,2.28
Kern,selfpercapitause,gallons/day,1/1/2010 0:00,42
Kern,public,Mgal/d,1/1/2005 0:00,111.19
Kern,public,Mgal/d,1/1/2010 0:00,134.02
Kern,publicpercapita,gallons/day,1/1/2010 0:00,171
Kern,total,Mgal/d,1/1/2005 0:00,130.95
Kern,total,Mgal/d,1/1/2010 0:00,136.3
Kings,population,thousands,1/1/2000 0:00,20.99
Kings,population,thousands,1/1/2005 0:00,30.865
Kings,population,thousands,1/1/2010 0:00,15.252
Kings,groundwater,Mgal/d,1/1/2000 0:00,1.42
Kings,groundwater,Mgal/d,1/1/2005 0:00,5.4
Kings,groundwater,Mgal/d,1/1/2010 0:00,1.05
Kings,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.16
Kings,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.6
Kings,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.09
Kings,selfsupplied,Mgal/d,1/1/2000 0:00,1.58
Kings,selfsupplied,Mgal/d,1/1/2005 0:00,6
Kings,selfsupplied,Mgal/d,1/1/2010 0:00,1.14
Kings,selfpercapitause,gallons/day,1/1/2010 0:00,75
Kings,public,Mgal/d,1/1/2005 0:00,18.11
Kings,public,Mgal/d,1/1/2010 0:00,19.25
Kings,publicpercapita,gallons/day,1/1/2010 0:00,140
Kings,total,Mgal/d,1/1/2005 0:00,24.11
Kings,total,Mgal/d,1/1/2010 0:00,20.39
Lake,population,thousands,1/1/2000 0:00,13.65
Lake,population,thousands,1/1/2005 0:00,33.693
Lake,population,thousands,1/1/2010 0:00,25.945
Lake,groundwater,Mgal/d,1/1/2000 0:00,0.92
Lake,groundwater,Mgal/d,1/1/2005 0:00,1.04
Lake,groundwater,Mgal/d,1/1/2010 0:00,1.64
Lake,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.1
Lake,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0
Lake,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.31
Lake,selfsupplied,Mgal/d,1/1/2000 0:00,1.02
Lake,selfsupplied,Mgal/d,1/1/2005 0:00,1.04
Lake,selfsupplied,Mgal/d,1/1/2010 0:00,1.95
Lake,selfpercapitause,gallons/day,1/1/2010 0:00,75
Lake,public,Mgal/d,1/1/2005 0:00,6.81
Lake,public,Mgal/d,1/1/2010 0:00,6.4
Lake,publicpercapita,gallons/day,1/1/2010 0:00,165
Lake,total,Mgal/d,1/1/2005 0:00,7.85
Lake,total,Mgal/d,1/1/2010 0:00,8.35
Lassen,population,thousands,1/1/2000 0:00,16.72
Lassen,population,thousands,1/1/2005 0:00,20.236
Lassen,population,thousands,1/1/2010 0:00,18.215
Lassen,groundwater,Mgal/d,1/1/2000 0:00,1.13
Lassen,groundwater,Mgal/d,1/1/2005 0:00,3.14
Lassen,groundwater,Mgal/d,1/1/2010 0:00,0.47
Lassen,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.13
Lassen,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.9
Lassen,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.09
Lassen,selfsupplied,Mgal/d,1/1/2000 0:00,1.26
Lassen,selfsupplied,Mgal/d,1/1/2005 0:00,4.04
Lassen,selfsupplied,Mgal/d,1/1/2010 0:00,0.56
Lassen,selfpercapitause,gallons/day,1/1/2010 0:00,31
Lassen,public,Mgal/d,1/1/2005 0:00,6.75
Lassen,public,Mgal/d,1/1/2010 0:00,3.52
Lassen,publicpercapita,gallons/day,1/1/2010 0:00,211
Lassen,total,Mgal/d,1/1/2005 0:00,10.79
Lassen,total,Mgal/d,1/1/2010 0:00,4.08
Los Angeles,population,thousands,1/1/2000 0:00,1010.12
Los Angeles,population,thousands,1/1/2005 0:00,859.199
Los Angeles,population,thousands,1/1/2010 0:00,575.905
Los Angeles,groundwater,Mgal/d,1/1/2000 0:00,68.18
Los Angeles,groundwater,Mgal/d,1/1/2005 0:00,10.42
Los Angeles,groundwater,Mgal/d,1/1/2010 0:00,31.21
Los Angeles,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,7.58
Los Angeles,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,8.68
Los Angeles,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,9.23
Los Angeles,selfsupplied,Mgal/d,1/1/2000 0:00,75.76
Los Angeles,selfsupplied,Mgal/d,1/1/2005 0:00,19.1
Los Angeles,selfsupplied,Mgal/d,1/1/2010 0:00,40.44
Los Angeles,selfpercapitause,gallons/day,1/1/2010 0:00,70
Los Angeles,public,Mgal/d,1/1/2005 0:00,1106.66
Los Angeles,public,Mgal/d,1/1/2010 0:00,927.69
Los Angeles,publicpercapita,gallons/day,1/1/2010 0:00,100
Los Angeles,total,Mgal/d,1/1/2005 0:00,1125.76
Los Angeles,total,Mgal/d,1/1/2010 0:00,968.13
Madera,population,thousands,1/1/2000 0:00,49.07
Madera,population,thousands,1/1/2005 0:00,55.4
Madera,population,thousands,1/1/2010 0:00,50.385
Madera,groundwater,Mgal/d,1/1/2000 0:00,3.31
Madera,groundwater,Mgal/d,1/1/2005 0:00,8.71
Madera,groundwater,Mgal/d,1/1/2010 0:00,2.78
Madera,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.37
Madera,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.97
Madera,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.34
